Algorithm,mdlav,mdla,mdlv,mdlc
fmroi,0.773658846207732,0.445357363694076,0.000378288206893395,0
afni,0.773658846207732,0.445357363694076,0.000378288206893395,0
fsl,0.773673975010302,0.445288941955605,0.000378311345753682,1.01765852827132e-07
mricrongl,0.773658846207732,0.445357363694076,0.000378288206893395,0
spm,0.773658846207732,0.445357363694076,0.000378288206893395,0
