Algorithm,mdlav,mdla,mdlv,mdlc
fmroi,0,0,0,0.0026766098159836
afni,0.361717332277266,0.0243055372053725,0.0378291172177583,0
fsl,0,0,0,0.00268317776822621
spm,0.361717332277266,0.0243055372053725,0.0378291172177583,0
