Algorithm,NRMSE,Pearson_R,Alpha,Intercept,DoF,R2,pValue,StdError,RMSE_fit
fmroi,0.000378288206893395,0.999999973529325,0.99986227760287,-95.1405452332474,98,0.999999947058651,0,2.32393865077098e-05,280.227234461024
afni,0.000378288206893395,0.999999973529325,0.99986227760287,-95.1405452332474,98,0.999999947058651,0,2.32393865077098e-05,280.227234461024
fsl,0.000378311345753682,0.999999973525942,0.999862276511411,-95.1593792861945,98,0.999999947051885,0,2.32408714459637e-05,280.245140275365
mricrongl,0.000378288206893395,0.999999973529325,0.99986227760287,-95.1405452332474,98,0.999999947058651,0,2.32393865077098e-05,280.227234461024
spm,0.000378288206893395,0.999999973529325,0.99986227760287,-95.1405452333077,98,0.999999947058651,0,2.32393865548942e-05,280.227235029986
