Algorithm,NRMSE,Pearson_R,Alpha,Intercept,DoF,R2,pValue,StdError,RMSE_fit
fmroi,0,1,1,1.55527661508878e-11,98,1,0,0,0
afni,0.0378291172177583,0.999722209682534,1.016301304257,1070.75988185976,98,0.999444496532528,2.4830720913e-161,0.00242032391319404,6967.39711261762
fsl,0,1,1,8.26240701765913e-12,98,1,0,1.55079684636446e-09,0.00446428571428571
spm,0.0378291172177583,0.999722209682534,1.016301304257,1070.75988185976,98,0.999444496532528,2.48307209139993e-161,0.00242032391319503,6967.39711262048
