Algorithm,NRMSE,Pearson_R,Alpha,Intercept,DoF,R2,pValue,StdError,RMSE_fit
fmroi,0,1,1,9.57987763466131e-13,98,1,0,0,0
afni,0.0243055372053725,0.999812025401707,1.00967026234986,112.684004035423,98,0.999624086137863,1.21514433796598e-169,0.00197784540141125,357.103477768023
fsl,0,1,1,-6.84276973904379e-14,98,1,0,3.09072422991137e-09,0.000558035714285714
spm,0.0243055372053725,0.999812025401707,1.00967026234986,112.684004035422,98,0.999624086137863,1.21514433811145e-169,0.00197784540141367,357.103477768459
