Algorithm,NRMSE,Pearson_R,Alpha,Intercept,DoF,R2,pValue,StdError,RMSE_fit
fmroi,0,1,1,-2.22044604925031e-16,98,1,0,0,0
afni,0.361717332277266,0.989874546017356,0.935065092589439,0.00209490289324541,98,0.979851616853068,6.56628274109594e-85,0.0135446800368239,0.0949792345922014
fsl,0,1,1,1.33226762955019e-16,98,1,0,1.71726432050901e-09,1.20419567173983e-08
spm,0.361717332277266,0.989874546017357,0.935065092589439,0.00209490289324568,98,0.979851616853068,6.56628274109856e-85,0.013544680036824,0.0949792345922018
