Algorithm,NRMSE,Pearson_R,Alpha,Intercept,DoF,R2,pValue,StdError,RMSE_fit
fmroi,0.773658846207732,0.999090724026213,1.45864784271337,0.00462891401317327,98,0.998182274835224,4.19265452280304e-136,0.00628776930397173,0.0220458332777129
afni,0.773658846207732,0.999090724026213,1.45864784271337,0.00462891401317327,98,0.998182274835224,4.19265452280304e-136,0.00628776930397173,0.0220458332777129
fsl,0.773673975010302,0.99909049331357,1.45862739726512,0.0046045303532432,98,0.998181813829555,4.24507694518143e-136,0.00628847990255781,0.0220483247396605
mricrongl,0.773658846207732,0.999090724026213,1.45864784271337,0.00462891401317327,98,0.998182274835224,4.19265452280304e-136,0.00628776930397173,0.0220458332777129
spm,0.773658846207732,0.999090724026213,1.45864784271337,0.00462891401317345,98,0.998182274835224,4.19265452286406e-136,0.00628776930397267,0.0220458332777162
