Algorithm,NRMSE,Pearson_R_dim1,Alpha_dim1,Intercept_dim1,DoF_dim1,R2_dim1,pValue_dim1,StdError_dim1,RMSE_fit_dim1,Pearson_R_dim2,Alpha_dim2,Intercept_dim2,DoF_dim2,R2_dim2,pValue_dim2,StdError_dim2,RMSE_fit_dim2,Pearson_R_dim3,Alpha_dim3,Intercept_dim3,DoF_dim3,R2_dim3,pValue_dim3,StdError_dim3,RMSE_fit_dim3
fmroi,0.0026766098159836,0.999991683990588,1.00058315515157,0.174446418562828,98,0.99998336805033,5.3881245824866e-236,0.000412206980495474,0.249998228955557,0.999991188566447,0.999997180318624,0.250398139010306,98,0.999982377210536,9.18080760551887e-235,0.000424059591600729,0.252538079164539,0.999991602493651,0.999529415912118,0.308710070804128,98,0.99998320505782,8.68900132885051e-236,0.000413785669222081,0.250887993416168
afni,0,1,1,-2.85211444929308e-14,98,1,0,4.68506860806077e-09,2.66973194970614e-06,1,1,6.67591120912288e-15,98,1,0,0,0,1,1,1.10011233215162e-14,98,1,0,0,0
fsl,0.00268317776822621,0.999986392786884,0.998668764505667,-0.0819847682602445,98,0.999972785758925,1.62270694221213e-225,0.000526274651282863,0.244676733557905,0.99998568193816,0.999161062029855,-0.136323905045347,98,0.999971364081327,1.96729795008081e-224,0.000540112516365217,0.249485799835967,0.999985993033344,1.00024041438633,-0.282297268658883,98,0.999971986262881,6.7051192519279e-225,0.000534789618341956,0.252278147235605
spm,0,1,1,3.85795498278086e-15,98,1,0,0,0,1,1,-1.74366020657263e-15,98,1,0,0,0,1,1,-5.13731961435308e-15,98,1,0,2.65298085275304e-09,1.54137045982698e-06
