Algorithm,NRMSE,Pearson_R,Alpha,Intercept,DoF,R2,pValue,StdError,RMSE_fit
fmroi,0.445357363694076,0.999999534800198,1.49904164044912,-34.9646272839329,98,0.999999069600612,2.34434070112049e-297,0.000146061436988712,55.2326550640769
afni,0.445357363694076,0.999999534800198,1.49904164044912,-34.9646272839329,98,0.999999069600612,2.34434070112049e-297,0.000146061436988712,55.2326550640769
fsl,0.445288941955605,0.999999003258723,1.49895235529849,-38.3783731270743,98,0.99999800651844,3.85672326661998e-281,0.000213787020755846,80.8428632363574
mricrongl,0.445357363694076,0.999999534800198,1.49904164044912,-34.9646272839329,98,0.999999069600612,2.34434070112049e-297,0.000146061436988712,55.2326550640769
spm,0.445357363694076,0.999999534800198,1.49904164044912,-34.9646272839389,98,0.999999069600612,2.34434070112049e-297,0.000146061436988712,55.2326550640769
